令和４年,医療施設調査,令和４（２０２２）年１０月１日,
二次医療圏・市区町村編　第１表　病院数；病床数，病院－病床の種類・二次医療圏・市区町村別
,施設数,,,,,,病床数,,,,,,
,総　数,精神科,一般病院,,地域医,救　急,総　数,精　神,感染症,結　核,療　養,一　般,地域医
,,病　院,総数,療養病床,療支援,告　示,,病　床,病　床,病　床,病　床,病　床,療支援
,,,,を有する,病　院,病　院,,,,,,,病　院
,,,,病院,(再掲),(再掲),,,,,,,(再掲)
,,,,(再掲),,,,,,,,,
,,,,,,,,,,,,,
34104 西区　　　　　,13,2,11,5,-,6,1525,650,-,-,356,519,-
34105 安佐南区　　　,14,1,13,5,-,5,1527,376,-,-,323,828,-
34106 安佐北区　　　,5,1,4,3,1,3,1087,399,-,-,144,544,434
34107 安芸区　　　　,4,1,3,2,-,2,609,312,-,-,159,138,-
34108 佐伯区　　　　,9,1,8,5,-,3,1405,428,-,-,513,464,-
34214 安芸高田市　　,1,-,1,1,-,1,311,56,-,-,46,209,-
34302 府中町　　　　,2,1,1,-,-,1,587,317,-,-,-,270,-
34304 海田町　　　　,2,-,2,2,-,-,118,-,-,-,78,40,-
34307 熊野町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
34309 坂町　　　　　,1,-,1,-,-,1,312,-,-,-,-,312,-
34368 安芸太田町　　,1,-,1,1,-,1,149,44,-,-,52,53,-
34369 北広島町　　　,4,1,3,1,-,3,373,158,-,-,70,145,-
3402　広島西　　　　　　　,13,1,12,8,2,2,2376,476,-,-,773,1127,971
34211 大竹市　　　　,3,-,3,2,1,1,834,296,-,-,98,440,440
34213 廿日市市　　　,10,1,9,6,1,1,1542,180,-,-,675,687,531
3403　呉　　　　　　　　　,30,6,24,14,4,10,4414,1250,-,46,757,2361,1748
34202 呉市　　　　　,26,5,21,11,4,9,4093,1138,-,46,548,2361,1748
34215 江田島市　　　,4,1,3,3,-,1,321,112,-,-,209,-,-
3404　広島中央　　　　　　,20,3,17,10,1,11,3233,920,4,16,628,1665,402
34203 竹原市　　　　,4,1,3,2,-,3,469,192,-,-,88,189,-
34212 東広島市　　　,16,2,14,8,1,8,2764,728,4,16,540,1476,402
34431 大崎上島町　　,-,-,-,-,-,-,-,-,-,-,-,-,-
3405　尾三　　　　　　　　,22,3,19,12,3,13,4002,904,-,-,756,2342,883
34204 三原市　　　　,10,2,8,4,1,6,2003,784,-,-,200,1019,200
34205 尾道市　　　　,11,1,10,7,2,6,1844,120,-,-,536,1188,683
34462 世羅町　　　　,1,-,1,1,-,1,155,-,-,-,20,135,-
3406　福山・府中　　　　　,45,6,39,19,3,28,6176,1490,6,6,1164,3510,1126
34207 福山市　　　　,40,5,35,18,3,24,5553,1182,6,6,1114,3245,1126
34208 府中市　　　　,4,1,3,1,-,3,563,308,-,-,50,205,-
34545 神石高原町　　,1,-,1,-,-,1,60,-,-,-,-,60,-
3407　備北　　　　　　　　,10,1,9,6,1,4,1686,235,2,-,654,795,350
34209 三次市　　　　,5,1,4,2,1,2,1109,235,-,-,390,484,350
34210 庄原市　　　　,5,-,5,4,-,2,577,-,2,-,264,311,-
35　　山口県　,139,27,112,73,14,63,24344,5845,40,60,7345,11054,5297
3501　岩国　　　　　　　　,17,2,15,7,2,5,2216,525,-,-,664,1027,711
35208 岩国市　　　　,17,2,15,7,2,5,2216,525,-,-,664,1027,711
35321 和木町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
3502　柳井　　　　　　　　,8,2,6,4,1,3,1698,430,-,-,512,756,360
35212 柳井市　　　　,4,1,3,1,1,1,1038,298,-,-,100,640,360
35305 周防大島町　　,3,1,2,2,-,2,330,132,-,-,114,84,-
35341 上関町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
35343 田布施町　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
35344 平生町　　　　,1,-,1,1,-,-,330,-,-,-,298,32,-
3503　周南　　　　　　　　,23,3,20,11,2,9,3603,609,12,-,1151,1831,849
35207 下松市　　　　,3,-,3,3,-,2,438,-,-,-,210,228,-
35210 光市　　　　　,6,1,5,2,-,3,819,204,-,-,261,354,-
35215 周南市　　　　,14,2,12,6,2,4,2346,405,12,-,680,1249,849
3504　山口・防府　　　　　,27,6,21,12,3,15,4419,1142,14,-,1187,2076,1210
35203 山口市　　　　,17,4,13,8,2,8,2758,882,-,-,779,1097,706
35206 防府市　　　　,10,2,8,4,1,7,1661,260,14,-,408,979,504
3505　宇部・小野田　　　　,28,7,21,16,2,14,5578,1537,-,30,1414,2597,697
35202 宇部市　　　　,19,5,14,11,1,9,4142,1071,-,30,1153,1888,384
35213 美祢市　　　　,3,1,2,2,-,2,528,302,-,-,85,141,-
35216 山陽小野田市　,6,1,5,3,1,3,908,164,-,-,176,568,313
3506　下関　　　　　　　　,24,4,20,15,4,10,5047,1096,6,30,1814,2101,1470
35201 下関市　　　　,24,4,20,15,4,10,5047,1096,6,30,1814,2101,1470
3507　長門　　　　　　　　,5,2,3,3,-,3,834,318,8,-,175,333,-
35211 長門市　　　　,5,2,3,3,-,3,834,318,8,-,175,333,-
3508　萩　　　　　　　　　,7,1,6,5,-,4,949,188,-,-,428,333,-
35204 萩市　　　　　,7,1,6,5,-,4,949,188,-,-,428,333,-
35502 阿武町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
36　　徳島県　,106,15,91,57,7,36,13277,3575,23,37,3317,6325,2415
3601　東部　　　　　　　　,71,10,61,44,4,23,9556,2635,13,25,2571,4312,1392
36201 徳島市　　　　,46,6,40,28,2,12,5837,1654,13,5,1553,2612,795
36202 鳴門市　　　　,7,2,5,4,1,3,1169,537,-,-,237,395,307
36205 吉野川市　　　,4,-,4,2,1,2,865,-,-,-,238,627,290
36206 阿波市　　　　,3,-,3,2,-,1,198,-,-,-,65,133,-
36321 佐那河内村　　,-,-,-,-,-,-,-,-,-,-,-,-,-
36341 石井町　　　　,1,-,1,1,-,1,93,-,-,-,53,40,-
36342 神山町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
36401 松茂町　　　　,3,1,2,2,-,1,356,216,-,-,117,23,-
36402 北島町　　　　,2,-,2,2,-,1,313,-,-,-,167,146,-
36403 藍住町　　　　,2,-,2,2,-,1,107,-,-,-,81,26,-
36404 板野町　　　　,2,-,2,1,-,1,390,-,-,20,60,310,-
36405 上板町　　　　,1,1,-,-,-,-,228,228,-,-,-,-,-
3603　南部　　　　　　　　,19,2,17,7,2,8,2040,258,4,4,406,1368,803
36203 小松島市　　　,7,-,7,2,1,1,886,-,-,-,153,733,405
36204 阿南市　　　　,6,1,5,5,1,3,715,114,-,-,253,348,398
36301 勝浦町　　　　,1,-,1,-,-,1,50,-,-,-,-,50,-
36302 上勝町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
36368 那賀町　　　　,1,-,1,-,-,-,40,-,-,-,-,40,-
36383 牟岐町　　　　,1,-,1,-,-,1,110,-,4,4,-,102,-
36387 美波町　　　　,2,1,1,-,-,1,194,144,-,-,-,50,-
36388 海陽町　　　　,1,-,1,-,-,1,45,-,-,-,-,45,-
3605　西部　　　　　　　　,16,3,13,6,1,5,1681,682,6,8,340,645,220
36207 美馬市　　　　,6,1,5,2,-,1,590,342,-,-,88,160,-
36208 三好市　　　　,5,1,4,1,1,2,559,120,6,8,60,365,220
36468 つるぎ町　　　,2,-,2,1,-,1,153,-,-,-,33,120,-
36489 東みよし町　　,3,1,2,2,-,1,379,220,-,-,159,-,-
37　　香川県　,87,11,76,35,7,47,14059,3250,24,32,2092,8661,3354
3702　小豆　　　　　　　　,3,1,2,2,-,2,465,184,4,5,78,194,-
37322 土庄町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
37324 小豆島町　　　,3,1,2,2,-,2,465,184,4,5,78,194,-
3706　東部　　　　　　　　,41,4,37,12,3,29,7002,1384,12,27,772,4807,1402
37201 高松市　　　　,33,4,29,10,3,22,5643,1358,8,27,532,3718,1402
37206 さぬき市　　　,2,-,2,1,-,1,407,-,4,-,228,175,-
37207 東かがわ市　　,3,-,3,1,-,3,260,-,-,-,12,248,-
37341 三木町　　　　,3,-,3,-,-,3,692,26,-,-,-,666,-
37364 直島町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
3707　西部　　　　　　　　,43,6,37,21,4,16,6592,1682,8,-,1242,3660,1952
37202 丸亀市　　　　,12,3,9,7,1,2,1885,673,-,-,436,776,404
37203 坂出市　　　　,6,1,5,2,1,4,1302,483,4,-,61,754,397
37204 善通寺市　　　,3,-,3,-,1,1,776,22,-,-,-,754,689
37205 観音寺市　　　,5,1,4,3,1,4,1219,161,4,-,298,756,462
37208 三豊市　　　　,7,-,7,5,-,2,655,157,-,-,282,216,-
37386 宇多津町　　　,1,-,1,-,-,-,56,-,-,-,-,56,-
37387 綾川町　　　　,2,-,2,1,-,1,254,-,-,-,28,226,-
37403 琴平町　　　　,2,-,2,1,-,1,87,-,-,-,34,53,-
37404 多度津町　　　,4,1,3,2,-,-,318,186,-,-,103,29,-
37406 まんのう町　　,1,-,1,-,-,1,40,-,-,-,-,40,-
38　　愛媛県　,134,13,121,69,4,57,20260,4310,28,36,4323,11563,2046
3801　宇摩　　　　　　　　,8,-,8,6,-,3,1185,334,4,-,323,524,-
38213 四国中央市　　,8,-,8,6,-,3,1185,334,4,-,323,524,-
3802　新居浜・西条　　　　,21,3,18,10,-,12,3611,981,4,3,660,1963,-
38205 新居浜市　　　,11,2,9,6,-,6,2155,721,2,3,283,1146,-
38206 西条市　　　　,10,1,9,4,-,6,1456,260,2,-,377,817,-
3803　今治　　　　　　　　,28,1,27,15,-,11,2164,343,4,-,564,1253,-
38202 今治市　　　　,28,1,27,15,-,11,2164,343,4,-,564,1253,-
38356 上島町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
3804　松山　　　　　　　　,50,6,44,22,2,17,9238,1859,8,20,1932,5419,1412
38201 松山市　　　　,41,5,36,18,2,14,7228,1553,6,-,1528,4141,1412
38210 伊予市　　　　,1,-,1,1,-,-,290,-,-,-,218,72,-
38215 東温市　　　　,4,-,4,-,-,2,1221,40,2,20,-,1159,-
38386 久万高原町　　,1,-,1,1,-,1,77,-,-,-,30,47,-
38401 松前町　　　　,2,1,1,1,-,-,209,153,-,-,56,-,-
38402 砥部町　　　　,1,-,1,1,-,-,213,113,-,-,100,-,-
3805　八幡浜・大洲　　　　,15,2,13,10,1,8,2097,527,4,8,561,997,199
38204 八幡浜市　　　,5,1,4,3,-,1,812,271,2,-,254,285,-
38207 大洲市　　　　,6,1,5,4,1,4,904,256,-,8,177,463,199
38214 西予市　　　　,3,-,3,2,-,2,289,-,2,-,90,197,-
38422 内子町　　　　,1,-,1,1,-,1,92,-,-,-,40,52,-
38442 伊方町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
3806　宇和島　　　　　　　,12,1,11,6,1,6,1965,266,4,5,283,1407,435
38203 宇和島市　　　,7,1,6,4,1,5,1436,266,4,5,178,983,435
38484 松野町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
38488 鬼北町　　　　,2,-,2,1,-,-,232,-,-,-,45,187,-
38506 愛南町　　　　,3,-,3,1,-,1,297,-,-,-,60,237,-
39　　高知県　,120,12,108,70,3,39,15738,3548,11,75,4461,7643,1534
3901　安芸　　　　　　　　,6,1,5,3,-,3,891,411,-,5,176,299,-
39202 室戸市　　　　,2,1,1,1,-,-,246,150,-,-,96,-,-
39203 安芸市　　　　,2,-,2,1,-,2,342,90,-,5,32,215,-
39301 東洋町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
39302 奈半利町　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
39303 田野町　　　　,1,-,1,-,-,1,84,-,-,-,-,84,-
39304 安田町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
39305 北川村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
39306 馬路村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
39307 芸西村　　　　,1,-,1,1,-,-,219,171,-,-,48,-,-
3902　中央　　　　　　　　,91,9,82,52,3,30,12507,2571,8,42,3549,6337,1534
39201 高知市　　　　,61,8,53,30,3,18,8577,1699,8,42,2152,4676,1534
39204 南国市　　　　,9,-,9,5,-,3,1694,283,-,-,361,1050,-
39205 土佐市　　　　,3,-,3,1,-,1,387,-,-,-,140,247,-
39211 香南市　　　　,1,-,1,1,-,1,171,-,-,-,80,91,-
39212 香美市　　　　,3,-,3,3,-,-,479,214,-,-,265,-,-
39341 本山町　　　　,1,-,1,1,-,1,99,-,-,-,44,55,-
39344 大豊町　　　　,1,-,1,1,-,-,80,-,-,-,80,-,-
39363 土佐町　　　　,1,-,1,1,-,-,50,-,-,-,50,-,-
39364 大川村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
39386 いの町　　　　,4,1,3,3,-,1,297,104,-,-,133,60,-
39387 仁淀川町　　　,1,-,1,1,-,-,21,-,-,-,21,-,-
39402 佐川町　　　　,2,-,2,2,-,2,452,271,-,-,95,86,-
39403 越知町　　　　,4,-,4,3,-,3,200,-,-,-,128,72,-
39410 日高村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
3903　高幡　　　　　　　　,8,1,7,6,-,3,835,218,-,-,293,324,-
39206 須崎市　　　　,4,1,3,3,-,1,559,218,-,-,185,156,-
39401 中土佐町　　　,1,-,1,1,-,-,24,-,-,-,24,-,-
39405 檮原町　　　　,1,-,1,-,-,1,30,-,-,-,-,30,-
39411 津野町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
39412 四万十町　　　,2,-,2,2,-,1,222,-,-,-,84,138,-
3904　幡多　　　　　　　　,15,1,14,9,-,3,1505,348,3,28,443,683,-
39208 宿毛市　　　　,5,-,5,2,-,1,692,168,3,28,101,392,-
39209 土佐清水市　　,3,-,3,3,-,1,190,-,-,-,140,50,-
39210 四万十市　　　,6,1,5,4,-,-,598,180,-,-,202,216,-
39424 大月町　　　　,1,-,1,-,-,1,25,-,-,-,-,25,-
39427 三原村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
39428 黒潮町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
40　　福岡県　,453,63,390,204,38,135,81694,20793,66,212,17164,43459,14804
4001　福岡・糸島　　　　　,123,15,108,46,11,42,22118,4315,8,48,4218,13529,3874
40131 東区　　　　　,21,3,18,9,2,8,5472,1180,-,-,1198,3094,608
40132 博多区　　　　,17,-,17,5,1,5,2225,-,4,-,672,1549,204
40133 中央区　　　　,16,1,15,4,3,6,2795,108,2,-,263,2422,1550
40134 南区　　　　　,18,3,15,6,2,5,3991,1207,2,-,312,2470,841
40135 西区　　　　　,21,5,16,11,1,6,3262,919,-,48,973,1322,282
40136 城南区　　　　,9,1,8,3,-,4,1787,208,-,-,200,1379,-
40137 早良区　　　　,13,-,13,5,1,5,1662,235,-,-,416,1011,239
40230 糸島市　　　　,8,2,6,3,1,3,924,458,-,-,184,282,150
4002　粕屋　　　　　　　　,26,2,24,11,1,9,4178,1006,12,56,942,2162,549
40223 古賀市　　　　,5,-,5,2,1,1,1401,283,12,38,299,769,549
40341 宇美町　　　　,3,-,3,3,-,1,572,202,-,18,352,-,-
40342 篠栗町　　　　,4,-,4,3,-,2,787,189,-,-,168,430,-
40343 志免町　　　　,5,1,4,1,-,2,586,200,-,-,34,352,-
40344 須恵町　　　　,2,-,2,2,-,-,231,-,-,-,89,142,-
40345 新宮町　　　　,2,-,2,-,-,-,80,-,-,-,-,80,-
40348 久山町　　　　,1,-,1,-,-,-,94,-,-,-,-,94,-
40349 粕屋町　　　　,4,1,3,-,-,3,427,132,-,-,-,295,-
4003　宗像　　　　　　　　,14,3,11,8,1,3,2263,968,-,-,530,765,164
40220 宗像市　　　　,9,2,7,5,1,2,1252,468,-,-,379,405,164
40224 福津市　　　　,5,1,4,3,-,1,1011,500,-,-,151,360,-
4004　筑紫　　　　　　　　,27,3,24,12,3,6,4653,1311,4,-,1266,2072,1172
40217 筑紫野市　　　,9,2,7,2,2,2,1391,476,2,-,122,791,570
40218 春日市　　　　,5,-,5,1,1,2,973,30,2,-,51,890,602
40219 大野城市　　　,7,-,7,6,-,1,1548,505,-,-,848,195,-
40221 太宰府市　　　,4,1,3,2,-,-,582,300,-,-,170,112,-
40231 那珂川市　　　,2,-,2,1,-,1,159,-,-,-,75,84,-
4005　朝倉　　　　　　　　,8,2,6,4,1,3,1242,340,-,-,360,542,232
40228 朝倉市　　　　,5,1,4,2,1,3,782,160,-,-,140,482,232
40447 筑前町　　　　,3,1,2,2,-,-,460,180,-,-,220,60,-
40448 東峰村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
4006　久留米　　　　　　　,47,7,40,25,4,13,8747,2027,14,-,1968,4738,1857
40203 久留米市　　　,32,5,27,15,3,10,6499,1519,14,-,1236,3730,1700
40212 大川市　　　　,2,-,2,2,-,2,619,-,-,-,140,479,-
40216 小郡市　　　　,8,1,7,5,1,1,1039,328,-,-,358,353,157
40225 うきは市　　　,3,1,2,2,-,-,350,180,-,-,114,56,-
40503 大刀洗町　　　,1,-,1,-,-,-,120,-,-,-,-,120,-
40522 大木町　　　　,1,-,1,1,-,-,120,-,-,-,120,-,-
4007　八女・筑後　　　　　,14,1,13,7,2,6,2300,464,2,-,780,1054,533
40210 八女市　　　　,8,1,7,5,1,3,1374,284,-,-,528,562,300
40211 筑後市　　　　,2,-,2,1,1,1,454,180,2,-,41,231,233
40544 広川町　　　　,4,-,4,1,-,2,472,-,-,-,211,261,-
4008　有明　　　　　　　　,31,6,25,16,1,10,5572,1666,2,20,1073,2811,320
40202 大牟田市　　　,23,4,19,12,1,7,4202,1218,2,20,766,2196,320
40207 柳川市　　　　,6,1,5,3,-,2,893,170,-,-,237,486,-
40229 みやま市　　　,2,1,1,1,-,1,477,278,-,-,70,129,-
4009　飯塚　　　　　　　　,20,3,17,7,1,5,3520,857,-,-,388,2275,1048
40205 飯塚市　　　　,12,2,10,3,1,3,2684,673,-,-,144,1867,1048
40227 嘉麻市　　　　,7,1,6,3,-,2,745,184,-,-,183,378,-
40421 桂川町　　　　,1,-,1,1,-,-,91,-,-,-,61,30,-
4010　直方・鞍手　　　　　,12,2,10,5,-,6,1842,730,-,30,317,765,-
40204 直方市　　　　,6,2,4,2,-,3,946,494,-,30,80,342,-
40226 宮若市　　　　,4,-,4,3,-,1,618,236,-,-,237,145,-
40401 小竹町　　　　,1,-,1,-,-,1,56,-,-,-,-,56,-
40402 鞍手町　　　　,1,-,1,-,-,1,222,-,-,-,-,222,-
4011　田川　　　　　　　　,16,3,13,8,1,6,2938,1607,8,-,321,1002,335
40206 田川市　　　　,7,2,5,1,1,3,1942,1071,8,-,60,803,335
40601 香春町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
40602 添田町　　　　,1,-,1,1,-,-,166,147,-,-,19,-,-
40604 糸田町　　　　,1,-,1,1,-,1,99,-,-,-,45,54,-
40605 川崎町　　　　,4,-,4,4,-,2,244,-,-,-,149,95,-
40608 大任町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
40609 赤村　　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
40610 福智町　　　　,3,1,2,1,-,-,487,389,-,-,48,50,-
4012　北九州　　　　　　　,101,15,86,44,11,24,19883,4602,16,58,4252,10955,4474
40101 門司区　　　　,11,2,9,6,1,2,2176,836,-,55,367,918,187
40103 若松区　　　　,5,2,3,1,-,-,778,437,-,-,37,304,-
40105 戸畑区　　　　,5,-,5,2,1,2,914,-,-,-,222,692,218
40106 小倉北区　　　,21,1,20,13,3,5,5060,576,16,-,1308,3160,1741
40107 小倉南区　　　,18,4,14,8,2,3,3392,1159,-,3,844,1386,850
40108 八幡東区　　　,7,2,5,2,2,3,2129,380,-,-,326,1423,803
40109 八幡西区　　　,23,3,20,8,1,3,3901,854,-,-,872,2175,575
40215 中間市　　　　,1,-,1,1,-,1,145,-,-,-,42,103,-
40381 芦屋町　　　　,1,-,1,1,-,1,137,-,-,-,32,105,-
40382 水巻町　　　　,3,-,3,1,-,2,459,-,-,-,108,351,-
40383 岡垣町　　　　,2,1,1,-,-,-,460,360,-,-,-,100,-
40384 遠賀町　　　　,4,-,4,1,1,2,332,-,-,-,94,238,100
4013　京築　　　　　　　　,14,1,13,11,1,2,2438,900,-,-,749,789,246
40213 行橋市　　　　,6,-,6,5,1,1,1178,473,-,-,272,433,246
40214 豊前市　　　　,2,1,1,1,-,-,472,427,-,-,45,-,-
40621 苅田町　　　　,3,-,3,3,-,1,498,-,-,-,272,226,-
40625 みやこ町　　　,1,-,1,1,-,-,174,-,-,-,116,58,-
40642 吉富町　　　　,1,-,1,-,-,-,72,-,-,-,-,72,-
40646 上毛町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
40647 築上町　　　　,1,-,1,1,-,-,44,-,-,-,44,-,-
41　　佐賀県　,96,14,82,49,6,40,14154,4117,24,30,3633,6350,1986
4101　中部　　　　　　　　,37,5,32,14,2,20,5601,1399,8,-,1036,3158,742
41201 佐賀市　　　　,27,4,23,9,2,15,4137,780,8,-,672,2677,742
41204 多久市　　　　,3,1,2,1,-,1,304,155,-,-,45,104,-
41208 小城市　　　　,3,-,3,2,-,3,397,-,-,-,160,237,-
41210 神埼市　　　　,3,-,3,2,-,1,199,-,-,-,159,40,-
41327 吉野ヶ里町　　,1,-,1,-,-,-,564,464,-,-,-,100,-
4102　東部　　　　　　　　,13,2,11,9,1,5,2418,772,4,30,853,759,335
41203 鳥栖市　　　　,8,1,7,6,-,3,1403,358,-,-,651,394,-
41341 基山町　　　　,1,-,1,1,-,-,160,-,-,-,160,-,-
41345 上峰町　　　　,1,-,1,1,-,-,56,-,-,-,16,40,-
41346 みやき町　　　,3,1,2,1,1,2,799,414,4,30,26,325,335
4103　北部　　　　　　　　,16,3,13,8,1,5,1951,611,4,-,490,846,304
41202 唐津市　　　　,16,3,13,8,1,5,1951,611,4,-,490,846,304
41387 玄海町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
4104　西部　　　　　　　　,9,2,7,6,1,3,1132,330,4,-,398,400,206
41205 伊万里市　　　,8,2,6,6,-,2,926,330,-,-,398,198,-
41401 有田町　　　　,1,-,1,-,1,1,206,-,4,-,-,202,206
4105　南部　　　　　　　　,21,2,19,12,1,7,3052,1005,4,-,856,1187,399
41206 武雄市　　　　,5,1,4,2,-,1,656,189,-,-,195,272,-
41207 鹿島市　　　　,4,-,4,1,-,2,287,-,-,-,80,207,-
41209 嬉野市　　　　,4,-,4,3,1,1,1274,568,4,-,162,540,399
41423 大町町　　　　,1,-,1,1,-,-,115,-,-,-,115,-,-
41424 江北町　　　　,2,-,2,2,-,-,90,-,-,-,90,-,-
41425 白石町　　　　,4,1,3,3,-,2,570,248,-,-,214,108,-
41441 太良町　　　　,1,-,1,-,-,1,60,-,-,-,-,60,-
42　　長崎県　,147,28,119,66,11,55,25292,7681,42,83,5813,11673,4162
4201　長崎　　　　　　　　,51,10,41,23,3,17,10802,3709,8,19,2457,4609,1033
42201 長崎市　　　　,43,9,34,17,3,15,9542,3448,8,19,1803,4264,1033
42212 西海市　　　　,2,1,1,1,-,-,371,261,-,-,110,-,-
42307 長与町　　　　,3,-,3,2,-,1,348,-,-,-,195,153,-
42308 時津町　　　　,3,-,3,3,-,1,541,-,-,-,349,192,-
4202　佐世保県北　　　　　,35,8,27,16,4,16,5517,1408,6,20,1419,2664,1669
42202 佐世保市　　　,24,6,18,10,4,11,4513,1141,6,20,1013,2333,1669
42207 平戸市　　　　,7,1,6,4,-,4,659,120,-,-,275,264,-
42208 松浦市　　　　,3,-,3,2,-,1,198,-,-,-,131,67,-
42391 佐々町　　　　,1,1,-,-,-,-,147,147,-,-,-,-,-
4203　県央　　　　　　　　,32,8,24,10,3,10,5336,1807,8,24,966,2531,1206
42204 諫早市　　　　,20,5,15,6,1,6,3011,1124,4,24,590,1269,323
42205 大村市　　　　,8,2,6,2,1,3,1633,470,4,-,137,1022,643
42321 東彼杵町　　　,1,-,1,1,-,-,186,101,-,-,85,-,-
42322 川棚町　　　　,1,-,1,-,1,1,240,-,-,-,-,240,240
42323 波佐見町　　　,2,1,1,1,-,-,266,112,-,-,154,-,-
4204　県南　　　　　　　　,17,2,15,12,1,5,2125,574,4,-,718,829,254
42203 島原市　　　　,9,2,7,5,1,2,1039,340,4,-,294,401,254
42213 雲仙市　　　　,4,-,4,4,-,2,663,204,-,-,194,265,-
42214 南島原市　　　,4,-,4,3,-,1,423,30,-,-,230,163,-
4206　五島　　　　　　　　,4,-,4,1,-,2,508,60,4,10,54,380,-
42211 五島市　　　　,4,-,4,1,-,2,508,60,4,10,54,380,-
4207　上五島　　　　　　　,1,-,1,1,-,1,186,-,4,-,50,132,-
42383 小値賀町　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
42411 新上五島町　　,1,-,1,1,-,1,186,-,4,-,50,132,-
4208　壱岐　　　　　　　　,5,-,5,3,-,2,483,78,4,6,149,246,-
42210 壱岐市　　　　,5,-,5,3,-,2,483,78,4,6,149,246,-
4209　対馬　　　　　　　　,2,-,2,-,-,2,335,45,4,4,-,282,-
42209 対馬市　　　　,2,-,2,-,-,2,335,45,4,4,-,282,-
43　　熊本県　,203,38,165,93,16,83,32273,8717,44,75,7144,16293,5596
4302　宇城　　　　　　　　,11,2,9,3,1,4,1644,607,4,22,243,768,204
43211 宇土市　　　　,1,1,-,-,-,-,282,282,-,-,-,-,-
43213 宇城市　　　　,8,1,7,2,1,4,1224,325,4,22,191,682,204
43348 美里町　　　　,2,-,2,1,-,-,138,-,-,-,52,86,-
4303　有明　　　　　　　　,11,4,7,5,2,3,2240,906,4,-,559,771,676
43204 荒尾市　　　　,5,2,3,2,1,1,1160,547,4,-,289,320,274
43206 玉名市　　　　,4,2,2,1,1,1,900,359,-,-,139,402,402
43364 玉東町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
43367 南関町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
43368 長洲町　　　　,1,-,1,1,-,-,89,-,-,-,89,-,-
43369 和水町　　　　,1,-,1,1,-,1,91,-,-,-,42,49,-
4304　鹿本　　　　　　　　,6,1,5,3,1,4,826,240,4,-,207,375,201
43208 山鹿市　　　　,6,1,5,3,1,4,826,240,4,-,207,375,201
4305　菊池　　　　　　　　,16,3,13,6,1,9,2973,816,4,-,319,1834,446
43210 菊池市　　　　,5,1,4,2,-,4,513,195,4,-,72,242,-
43216 合志市　　　　,5,1,4,1,1,1,1379,306,-,-,67,1006,446
43403 大津町　　　　,1,-,1,1,-,-,60,-,-,-,40,20,-
43404 菊陽町　　　　,5,1,4,2,-,4,1021,315,-,-,140,566,-
4306　阿蘇　　　　　　　　,6,1,5,3,-,4,964,270,4,-,385,305,-
43214 阿蘇市　　　　,4,1,3,2,-,3,803,270,4,-,353,176,-
43423 南小国町　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
43424 小国町　　　　,1,-,1,-,-,1,73,-,-,-,-,73,-
43425 産山村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
43428 高森町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
43432 西原村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
43433 南阿蘇村　　　,1,-,1,1,-,-,88,-,-,-,32,56,-
4308　八代　　　　　　　　,11,2,9,7,2,2,2333,775,4,-,540,1014,830
43202 八代市　　　　,10,2,8,6,2,2,2236,775,4,-,510,947,830
43468 氷川町　　　　,1,-,1,1,-,-,97,-,-,-,30,67,-
4309　芦北　　　　　　　　,10,2,8,4,1,2,1358,380,4,-,235,739,361
43205 水俣市　　　　,7,2,5,2,1,2,1069,380,4,-,151,534,361
